name,hero,company,price,pagecount,pubDate,ratio
Batman: The Haunted Knight,Batman,DC,14.99,192,February-1997,0.078072917
Batman: The Dark Knight Strikes Again,Batman,DC,19.95,256,January-2002,0.077929688
Batman: The Dark Knight Returns,Batman,DC,24.95,224,November-2002,0.111383929
Batman: Death and the Maidens,Batman,DC,19.95,224,August-2004,0.0890625
Batman: Broken City,Batman,DC,14.99,144,May-2005,0.104097222
V for Vendetta,Other,DC,19.99,296,December-2005,0.067533784
Batman: Gotham by Gaslight,Batman,DC,12.99,112,September-2006,0.115982143
Batman: Year One Hundred,Batman,DC,19.99,232,January-2007,0.086163793
Batman: Year One,Batman,DC,14.99,144,February-2007,0.104097222
Batman: Turning Points,Batman,DC,14.99,128,June-2007,0.117109375
Catwoman: When In Rome,Catwoman,DC,12.99,160,June-2007,0.0811875
Batman: The Killing Joke (HC),Batman,DC,17.99,96,March-2008,0.187395833
Joker,Batman,DC,19.99,128,October-2008,0.156171875
Batman: The Man Who Laughs,Batman,DC,14.99,160,January-2009,0.0936875
Wolverine,Wolverine,Marvel,16.99,144,March-2009,0.117986111
Wolverine Origin,Wolverine,Marvel,14.99,200,March-2009,0.07495
Batman: Hush Complete,Batman,DC,24.99,320,August-2009,0.07809375
Batman: Monsters,Batman,DC,19.99,192,October-2009,0.104114583
Batman: Heart of Hush,Batman,DC,14.99,144,December-2009,0.104097222
Batman: The Cult,Batman,DC,19.99,208,December-2009,0.096105769
Civil War,Other,Marvel,24.99,192,April-2010,0.13015625
Civil War: The Amazing Spider-Man,Spider-Man,Marvel,17.99,168,May-2010,0.107083333
Batman R.I.P.,Batman,DC,14.99,208,June-2010,0.072067308
Batman: Whatever Happened to the Caped Crusader?,Batman,DC,14.99,128,July-2010,0.117109375
Batman: Cacophony,Batman,DC,14.99,144,September-2010,0.104097222
Batman: Battle for the Cowl,Batman,DC,14.99,160,November-2010,0.0936875
The Road to Civil War,Other,Marvel,14.99,160,January-2011,0.0936875
Daredevil: Born Again,Daredevil,Marvel,19.99,248,March-2011,0.080604839
Batman and Robin: Batman Reborn,Batman,DC,14.99,168,April-2011,0.08922619
The Sensational She-Hulk,She-Hulk,Marvel,24.99,200,April-2011,0.12495
"X-Men: God Loves, Man Kills",X-Men,Marvel,14.99,96,April-2011,0.156145833
Batman: Under the Red Hood,Batman,DC,29.99,384,August-2011,0.078098958
All-Star Superman,Superman,DC,29.99,304,October-2011,0.098651316
Batman: The Long Halloween,Batman,DC,24.99,384,October-2011,0.065078125
Batman and Robin: Batman vs. Robin,Batman,DC,17.99,160,November-2011,0.1124375
Batman: A Death in the Family,Batman,DC,24.99,272,November-2011,0.091875
Batman: No Man's Land 2,Batman,DC,29.99,544,December-2011,0.055128676
Batman: The Return of Bruce Wayne,Batman,DC,19.99,232,January-2012,0.086163793
Batman: Birth of the Demon,Batman,DC,29.99,296,February-2012,0.101317568
Batman: Gates of Gotham,Batman,DC,14.99,144,February-2012,0.104097222
Batman: Time and the batman,Batman,DC,14.99,128,February-2012,0.117109375
Batman: Knightfall,Batman,DC,29.99,640,April-2012,0.046859375
Batman: No Man's Land 3,Batman,DC,29.99,544,April-2012,0.055128676
Batman: Venom,Batman,DC,14.99,126,April-2012,0.118968254
Batman: Knightfall - Knightquest,Batman,DC,29.99,656,May-2012,0.045716463
Batman: The Resurrection of Ra's al Ghul,Batman,DC,19.99,256,May-2012,0.078085938
Batman: No Man's Land 4,Batman,DC,29.99,544,August-2012,0.055128676
Batman and Robin: Batman and Robin Must Die,Batman,DC,17.99,168,September-2012,0.107083333
Batman: Knightfall - Knightsend,Batman,DC,29.99,656,September-2012,0.045716463
Batman: No Man's Land 1,Batman,DC,29.99,552,December-2012,0.05432971
Captain Marvel - Earth's Mightiest Hero: In Pursuit of Flight,Captain Marvel,Marvel,14.99,96,December-2012,0.156145833
Batman Incorporated (Vol. 1),Batman,DC,19.99,264,January-2013,0.075719697
X-Men Days of Future Past,X-Men,Marvel,19.99,184,January-2013,0.108641304
Batman: The Black Mirror,Batman,DC,16.99,288,February-2013,0.058993056
Batman: The Court of Owls,Batman,DC,16.99,176,March-2013,0.096534091
Hawkeye: My Life as a Weapon,Hawkeye,Marvel,19.99,136,March-2013,0.146985294
Red She-Hulk: Hell Hath No Fury,Red She-Hulk,Marvel,15.99,120,April-2013,0.13325
X-Men Legacy: Prodigal,X-Men,Marvel,15.99,136,April-2013,0.117573529
Cable and X-Force: Wanted,Cable,Marvel,17.99,144,May-2013,0.124930556
Deadpool: Dead Presidents,Deadpool,Marvel,15.99,144,May-2013,0.111041667
Superior Spider-Man: My Own Worst Enemy,Spider-Man,Marvel,17.99,120,May-2013,0.149916667
Superman: Earth One,Superman,DC,12.99,136,May-2013,0.095514706
Batgirl/Robin: Year One,Batman,DC,24.99,424,June-2013,0.058938679
Hawkeye: Little Hits,Hawkeye,Marvel,16.99,112,July-2013,0.151696429
Uncanny X-Force: Let it Bleed,X-Force,Marvel,17.99,112,July-2013,0.160625
Deadpool: Soul Hunter,Deadpool,Marvel,15.99,136,August-2013,0.117573529
Superior Spider-Man: Troubled Mind,Spider-Man,Marvel,17.99,112,August-2013,0.160625
Wolverine: Hunting Season,Wolverine,Marvel,17.99,136,August-2013,0.132279412
X-Men Legacy: Invasive Exotics,X-Men,Marvel,15.99,136,August-2013,0.117573529
Nova: Origin (HC),Nova,Marvel,24.99,136,September-2013,0.18375
Red She-Hulk: Route 616,Red She-Hulk,Marvel,15.99,120,September-2013,0.13325
Batman: City of Owls,Batman,DC,16.99,208,October-2013,0.081682692
Cable and X-Force: Dead or Alive,Cable,Marvel,12.99,96,October-2013,0.1353125
Thanos Rising,Thanos,Marvel,17.99,112,October-2013,0.160625
Uncanny X-Force: Torn and Frayed,X-Force,Marvel,17.99,136,November-2013,0.132279412
X-Men Legacy: Revenants,X-Men,Marvel,15.99,136,November-2013,0.117573529
"Deadpool: Good, Bad and the Ugly",Deadpool,Marvel,15.99,160,December-2013,0.0999375
All-New X-Men: Yesterday's X-Men,X-Men,Marvel,19.99,136,January-2014,0.146985294
Batman and Son,Batman,DC,19.99,384,January-2014,0.052057292
Cable and X-Force: This Won't End Well,Cable,Marvel,16.99,112,January-2014,0.151696429
Batman: Dark Victory,Batman,DC,24.99,400,February-2014,0.062475
Captain America: Castaway in Dimension Z: Book 1,Captain America,Marvel,19.99,136,February-2014,0.146985294
Iron Man: Believe,Iron Man,Marvel,19.99,136,February-2014,0.146985294
All-New X-Men: Here to Stay,X-Men,Marvel,19.99,136,March-2014,0.146985294
Cable and X-Force: Vendettas,Cable,Marvel,19.99,160,March-2014,0.1249375
Nova: Rookie Season,Nova,Marvel,16.99,112,March-2014,0.151696429
Superman: Earth One,Superman,DC,14.99,128,March-2014,0.117109375
Uncanny X-Force: Great Corruption,X-Force,Marvel,19.99,160,March-2014,0.1249375
Uncanny X-Men: Revolution,X-Men,Marvel,19.99,136,March-2014,0.146985294
Wolverine: Killable,Wolverine,Marvel,19.99,160,March-2014,0.1249375
Guardians of the Galaxy: Cosmic Avengers,Guardians of the Galaxy,Marvel,19.99,144,April-2014,0.138819444
Iron Man: The Secret Origin of Tony Stark: Book 1,Iron Man,Marvel,19.99,136,April-2014,0.146985294
Savage Wolverine: Kill Island,Wolverine,Marvel,19.99,136,April-2014,0.146985294
Superman: Red Son,Superman,DC,17.99,168,April-2014,0.107083333
X-Men Legacy: For We are Many,X-Men,Marvel,15.99,136,April-2014,0.117573529
All-New X-Men: Out of their Depth,X-Men,Marvel,19.99,136,May-2014,0.146985294
Batman: Death of the Family,Batman,DC,16.99,176,May-2014,0.096534091
Deadpool: Deadpool Vs. S.H.I.E.L.D.,Deadpool,Marvel,15.99,136,May-2014,0.117573529
Nova: Nova Corpse,Nova,Marvel,16.99,152,May-2014,0.111776316
Watchmen,Other,DC,19.99,448,May-2014,0.044620536
Amazing X-Men: The Quest for Nightcrawler,X-Men,Marvel,17.99,136,June-2014,0.132279412
Bruce Wayne: Fugitive,Batman,DC,29.99,432,July-2014,0.069421296
Captain America: Castaway in Dimension Z: Book 2,Captain America,Marvel,19.99,136,July-2014,0.146985294
Deadpool: Wedding of Deadpool,Deadpool,Marvel,15.99,136,July-2014,0.117573529
Guardians of the Galaxy 2,Guardians of the Galaxy,Marvel,34.99,296,July-2014,0.118209459
